fold,variant,brier,log_loss,roc_auc,ece
2015,raw,0.06533355066411697,0.2512936253111176,0.6241895281149369,0.024281732704761867
2016,raw,0.07180472411636916,0.2668258449245175,0.6700106340596055,0.016860025040386226
2017,raw,0.09147905137137616,0.3242967463130686,0.6144347044949348,0.018959437476859943
2018,raw,0.07484567028447019,0.27586768337600687,0.6591203789726899,0.01183496004608446
2019,raw,0.07435430543311836,0.27875026966732597,0.5864097431295608,0.029970835954968394
2020,raw,0.07986709580898127,0.2966566125287848,0.5880252087645677,0.02337690606486738
2021,raw,0.09033512654596705,0.32425039737177597,0.6042532535914852,0.015981305355141567
2022,raw,0.06547291688721424,0.25154849385420874,0.6231291683155641,0.017244176909832494
2023,raw,0.09944060640860969,0.3458490016725398,0.628678423265488,0.01076238824689196
2024,raw,0.07622996569546228,0.28022644297028515,0.6614272976964217,0.013350924240173003
2025,raw,0.08598765194159522,0.30954049072308226,0.6277779328251912,0.02200655651603499
2026,raw,0.06618964348931859,0.2521289881124872,0.6554505295211487,0.025464460932474148
2015,sigmoid,0.06559115422918142,0.2573240157629386,0.6241895281149369,0.034047806738622725
2016,sigmoid,0.07242351421833294,0.2719503166845885,0.6700106340596055,0.02570762165428445
2017,sigmoid,0.09161681791578655,0.3267690485950716,0.6144347044949348,0.027667159212680408
2018,sigmoid,0.07520783056219531,0.27875316408396633,0.6591203789726899,0.01979117311512103
2019,sigmoid,0.07347368202777131,0.27669776153278053,0.5864097431295608,0.02349952596500392
2020,sigmoid,0.07955691829193086,0.29389187637813063,0.5880252087645677,0.0186596452843949
2021,sigmoid,0.09051126126109092,0.32469566187083976,0.6042532535914852,0.022410744681111053
2022,sigmoid,0.06537571660484509,0.252908890475277,0.6231291683155641,0.016886927647626
2023,sigmoid,0.09994878997604026,0.3483409790808469,0.628678423265488,0.019936858120670066
2024,sigmoid,0.07645890296054962,0.28216114997246355,0.6614272976964217,0.018275471420051575
2025,sigmoid,0.08572744549287241,0.30898841152336887,0.6277779328251912,0.020285341828744034
2026,sigmoid,0.06597909781268492,0.252778400520039,0.6554505295211487,0.021378522035198775
2015,isotonic,0.06555812491638797,0.2556911716374194,0.618436106638593,0.035225310756140424
2016,isotonic,0.07207352769676291,0.2687948329105706,0.6656622261780338,0.019571302955724613
2017,isotonic,0.09226541791083907,0.38938663289524367,0.6150158735151083,0.01712616165302298
2018,isotonic,0.0747723660772186,0.2764253766405447,0.6554359777640585,0.014108661131109923
2019,isotonic,0.07319111144127288,0.27483751299097514,0.5853297297488641,0.021096809540901332
2020,isotonic,0.07944648413103544,0.29529222691020746,0.5893739051842042,0.01754928513682141
2021,isotonic,0.09032361301273595,0.3246489611404765,0.6032687288034274,0.0175884235115206
2022,isotonic,0.06520696957746544,0.2512792163775253,0.6199441896736347,0.015845252652978294
2023,isotonic,0.0996689542997387,0.34688133420245754,0.6270796327421847,0.016405966411885794
2024,isotonic,0.07635167300800147,0.28052916259262045,0.6605547849726395,0.014457681483392286
2025,isotonic,0.08506795316432123,0.30717265509702824,0.6263039487475269,0.019311577332354155
2026,isotonic,0.06571845164823954,0.25101224521804766,0.6540436299693347,0.018939270272169084
