fold,n_train,n_test,train_base_rate,test_base_rate,brier,log_loss,roc_auc,naive_brier,naive_log_loss
2014,28358,6240,0.09020382255448198,0.10368589743589744,0.0934246529746285,0.3359514840472861,0.5738308345798775,0.09311689845191808,0.3341682216593948
2015,34598,6312,0.09257760564194462,0.0697084917617237,0.06533355066411697,0.2512936253111176,0.6241895281149369,0.06537221430769592,0.25626110126447693
2016,40910,6344,0.08907357614275238,0.07991803278688525,0.07180472411636916,0.2668258449245175,0.6700106340596055,0.07361496479650075,0.2791025276870962
2017,47254,6280,0.08742117069454437,0.10238853503184714,0.09147905137137616,0.3242967463130686,0.6144347044949348,0.09212914492108491,0.331636905148617
2018,53539,6265,0.08943013504174527,0.08347964884277734,0.07484567028447019,0.27586768337600687,0.6591203789726899,0.07654620535786803,0.28740860209806585
2019,59804,6202,0.08895726038392081,0.07981296356014189,0.07435430543311836,0.27875026966732597,0.5864097431295608,0.07352647257229074,0.2788450420538506
2020,66001,6464,0.08802896925804155,0.08771658415841584,0.07986709580898127,0.2966566125287848,0.5880252087645677,0.08002248260644586,0.29722336371197516
2021,72465,6420,0.0879045056234044,0.1014018691588785,0.09033512654596705,0.32425039737177597,0.6042532535914852,0.09130170891237292,0.32923961275716446
2022,78885,6473,0.08872409203270584,0.07060095782481075,0.06547291688721424,0.25154849385420874,0.6231291683155641,0.06594491057254744,0.2573613818905761
2023,85353,6615,0.08770634892739564,0.1145880574452003,0.09944060640860969,0.3458490016725398,0.628678423265488,0.10218026078897201,0.36015487664453777
2024,91968,6642,0.08953114126652749,0.08566696778078892,0.07622996569546228,0.28022644297028515,0.6614272976964217,0.07834307024876207,0.29248925063250214
2025,98610,6695,0.08924044214582699,0.09544436146377894,0.08598765194159522,0.30954049072308226,0.6277779328251912,0.08637322394345409,0.31518831331574354
2026,105305,4424,0.08948293053511229,0.07188065099457505,0.06618964348931859,0.2521289881124872,0.6554505295211487,0.06702366325219436,0.2605032098368288
