feature,feature_value,shap_value,example,ticker,date,predicted_prob
numeric__realized_vol_20d,-0.36997943924078297,0.8773195848564986,highest_prob,ITC.NS,2026-08-11,0.19935737961441397
sector__sector_FMCG,1.0,-0.10539546508247691,highest_prob,ITC.NS,2026-08-11,0.19935737961441397
numeric__macd_signal,-0.07035698636981214,0.07297128146334154,highest_prob,ITC.NS,2026-08-11,0.19935737961441397
numeric__realized_vol_60d,-0.3631109319245469,-0.05927805699582967,highest_prob,ITC.NS,2026-08-11,0.19935737961441397
numeric__sma_200,-0.26661854816782016,0.03888909639976414,highest_prob,ITC.NS,2026-08-11,0.19935737961441397
numeric__beta_20d_vs_nifty,-0.5327557527398127,0.03860159501416768,highest_prob,ITC.NS,2026-08-11,0.19935737961441397
numeric__atr_14,-0.314149322874793,0.03318979508925099,highest_prob,ITC.NS,2026-08-11,0.19935737961441397
sector__sector_Auto,0.0,-0.030160167152965055,highest_prob,ITC.NS,2026-08-11,0.19935737961441397
numeric__macd_line,-0.06747188968837481,0.028612127645123234,highest_prob,ITC.NS,2026-08-11,0.19935737961441397
numeric__macd_hist,-0.0034297266436636525,-0.019796586218736565,highest_prob,ITC.NS,2026-08-11,0.19935737961441397
numeric__realized_vol_20d,0.12991876190292914,-0.5507668625610874,lowest_prob,INFY.NS,2026-08-11,0.03374805020612769
numeric__macd_hist,0.31977333211712344,-0.15591006798978962,lowest_prob,INFY.NS,2026-08-11,0.03374805020612769
numeric__sma_200,-0.09916627299924162,-0.12884645748421725,lowest_prob,INFY.NS,2026-08-11,0.03374805020612769
numeric__beta_20d_vs_nifty,2.0279349553831487,-0.125336636543766,lowest_prob,INFY.NS,2026-08-11,0.03374805020612769
numeric__realized_vol_60d,0.24603960270740308,0.08034737076426113,lowest_prob,INFY.NS,2026-08-11,0.03374805020612769
numeric__atr_14,-0.05105340741652629,-0.07150974139167317,lowest_prob,INFY.NS,2026-08-11,0.03374805020612769
numeric__bb_lower,-0.1478127221101896,0.038516600037061026,lowest_prob,INFY.NS,2026-08-11,0.03374805020612769
numeric__corr_20d_vs_nifty,0.8305717390802965,0.038341519628448534,lowest_prob,INFY.NS,2026-08-11,0.03374805020612769
numeric__sma_50,-0.14164245547668647,-0.034641172337220055,lowest_prob,INFY.NS,2026-08-11,0.03374805020612769
numeric__macd_signal,0.1608288124964916,-0.028938748807623593,lowest_prob,INFY.NS,2026-08-11,0.03374805020612769
