feature,mean_abs_shap
numeric__realized_vol_20d,0.5031048707490468
numeric__realized_vol_60d,0.13311506063914444
numeric__sma_200,0.06418888902659062
numeric__atr_14,0.05067210583936557
sector__sector_Auto,0.04078337147989573
numeric__macd_signal,0.04054744661134041
numeric__corr_20d_vs_nifty,0.03726843993459604
numeric__corr_60d_vs_nifty,0.03706603295320796
numeric__volume_ratio_20,0.03611632338730685
numeric__beta_20d_vs_nifty,0.0324361237172614
numeric__macd_hist,0.030127451696035933
numeric__beta_60d_vs_nifty,0.02788309673431847
numeric__close_over_sma_200,0.027578447451139475
numeric__gold_return_20d,0.025158720766053546
numeric__sma_50,0.01896376074826111
numeric__close_over_sma_50,0.01851738171939352
numeric__bb_lower,0.017603920132939987
numeric__sma_10,0.01677662649603919
numeric__bb_upper,0.01654374630543621
numeric__macd_line,0.016319960575651018
sector__sector_Infrastructure,0.01576783466603111
numeric__sma_20,0.010296708827198112
sector__sector_FMCG,0.010217472092886851
numeric__ema_26,0.008161364081687078
numeric__excess_return_20d_vs_nifty,0.00608153035060079
sector__sector_Energy,0.0060445850605918994
numeric__log_return_20d,0.00593896037731216
numeric__ema_12,0.005479448787548046
numeric__bb_width,0.0050584531078403895
numeric__gold_return_5d,0.003568246356622167
sector__sector_Banking,0.0027341283294221807
numeric__bb_pct_b,0.0026597339480744914
sector__sector_IT,0.0017083945568414066
numeric__log_return_10d,0.0013406831235337723
numeric__close_over_sma_20,0.0010693853823959423
numeric__excess_return_5d_vs_nifty,0.0006250814478807238
sector__sector_Pharma,0.0005887842663834355
sector__sector_commodity,0.0005660895449515722
numeric__rsi_14,0.0004587356711843862
sector__sector_Telecom,0.00022760873901786667
numeric__close_over_sma_10,5.8867766857243576e-05
numeric__log_return_5d,0.0
numeric__log_return_1d,0.0
numeric__roc_10,0.0
numeric__bb_mid,0.0
sector__sector_Metals,0.0
sector__sector_index,0.0
